"CNT","SCHOOLID","ST04Q01","ST06Q01","ST10Q01","ST14Q01","ST21Q01","ST21Q02","ST21Q03","ST21Q04","ST22Q01","ST23Q01","ST28Q01","ST28Q02","ST28Q03","ST25Q01","ST25Q02","ST25Q03","ST25Q04","ST25Q05","COUNTRY","PUBPRIV","math","reading","science","ReadingTime","MotherEd","FatherEd","ParentEd"
"Switzerland",1,"Female",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Three or more","Three or more","Three or more","26-100 books","I don’t read for enjoyment",47,47,47,"Several times a week","Never or almost never","A few times a year","About once a month","Several times a month","Switzerland","Public",2109.01,2189.27,2198.53,15,3,3,6
"Switzerland",1,"Male",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Two","Two","One","26-100 books","I don’t read for enjoyment",45,90,45,"Several times a month","A few times a year","Never or almost never","Never or almost never","Several times a week","Switzerland","Public",2515.23,1942.71,2323.01,13,3,3,6
"Switzerland",1,"Male",6,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","One","Two","One","101-200 books","I don’t read for enjoyment",45,45,45,"About once a month","Never or almost never","Never or almost never","Never or almost never","Several times a week","Switzerland","Public",2495.76,2139.11,2392.95,11,3,3,6
"Switzerland",1,"Female",6,"<ISCED level 3B, 3C>","<ISCED level 3A>","Three or more","Two","Three or more","Three or more","26-100 books","1 to 2 hours a day",45,45,45,"Several times a month","About once a month","Several times a week","Never or almost never","Never or almost never","Switzerland","Public",2692.82,2629.78,2517.44,14,3,4,7
"Switzerland",1,"Female",6,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Three or more","Three or more","Two","0-10 books","30 minutes or less a day",45,45,45,"Several times a month","Never or almost never","Several times a month","Never or almost never","Several times a month","Switzerland","Public",2040.06,2086.4,2151.9,14,3,3,6
"Switzerland",1,"Female",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Two","Three or more","Three or more","26-100 books","Between 30 and 60 minutes",45,45,47,"Several times a week","Never or almost never","Several times a month","Several times a week","Several times a month","Switzerland","Public",2607.14,2478.43,2736.58,19,3,3,6
"Switzerland",1,"Female",6,"<ISCED level 2>","<ISCED level 2>","Three or more","One","Three or more","Three or more","201-500 books","Between 30 and 60 minutes",40,40,40,"Several times a week","About once a month","A few times a year","A few times a year","Several times a month","Switzerland","Public",3019.98,2968.57,2803.24,16,2,2,4
"Switzerland",1,"Female",6,"<ISCED level 2>","<ISCED level 3B, 3C>","Three or more","Two","Three or more","Two","101-200 books","1 to 2 hours a day",45,45,35,"Several times a month","A few times a year","Several times a month","Several times a week","Several times a month","Switzerland","Public",2678.03,2722.71,2732.39,19,2,3,5
"Switzerland",1,"Male",6,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","One","One","Two","0-10 books","I don’t read for enjoyment",45,45,45,"About once a month","A few times a year","A few times a year","A few times a year","Several times a week","Switzerland","Public",3045.68,2695.06,2916.55,14,3,3,6
"Switzerland",1,"Male",6,"<ISCED level 2>","<ISCED level 2>","Three or more","One","Three or more","Three or more","101-200 books","I don’t read for enjoyment",45,45,45,"A few times a year","A few times a year","Never or almost never","Never or almost never","Several times a week","Switzerland","Public",2381.25,2371.6,2364.5,11,2,2,4
"Switzerland",1,"Male",7,"<ISCED level 3A>","<ISCED level 3B, 3C>","Three or more","Two","One","One","11-25 books","I don’t read for enjoyment",45,45,45,"Several times a month","A few times a year","About once a month","Several times a month","Several times a week","Switzerland","Public",2032.29,1841.29,2015.76,18,4,3,7
"Switzerland",1,"Male",8,"<ISCED level 3B, 3C>","<ISCED level 3A>","Three or more","Two","Three or more","One","26-100 books","30 minutes or less a day",40,40,40,"About once a month","Several times a week","About once a month","About once a month","About once a month","Switzerland","Public",1573.1,1260.88,1774.23,17,3,4,7
"Switzerland",1,"Female",7,"Did not complete <ISCED level 1>","<ISCED level 2>","Three or more","Two","Two","Three or more","26-100 books","30 minutes or less a day",45,55,60,"Several times a week","Several times a month","A few times a year","Never or almost never","Several times a week","Switzerland","Public",1734.34,1597.44,1672.61,17,0,2,2
"Switzerland",1,"Male",7,"<ISCED level 2>","<ISCED level 2>","Three or more","One","One","None","0-10 books","I don’t read for enjoyment",45,45,45,"Never or almost never","A few times a year","Never or almost never","Never or almost never","Several times a week","Switzerland","Public",2007.74,1704.61,1769.11,10,2,2,4
"Switzerland",1,"Female",6,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Three or more","One","Three or more","26-100 books","Between 30 and 60 minutes",45,45,47,"Several times a month","Never or almost never","About once a month","A few times a year","Several times a week","Switzerland","Public",2632.46,2870.47,2757.55,15,3,3,6
"Switzerland",1,"Female",7,"<ISCED level 2>","<ISCED level 2>","Three or more","One","Two","Three or more","101-200 books","1 to 2 hours a day",45,45,45,"Several times a week","Several times a month","A few times a year","A few times a year","Several times a week","Switzerland","Public",2486.41,2379.14,2522.1,18,2,2,4
"Switzerland",1,"Male",7,"<ISCED level 3B, 3C>","<ISCED level 3A>","Three or more","Two","Two","One","26-100 books","I don’t read for enjoyment",45,45,45,"About once a month","A few times a year","Several times a month","A few times a year","Several times a week","Switzerland","Public",3074.89,2495.45,2782.25,16,3,4,7
"Switzerland",1,"Male",7,"<ISCED level 3A>","<ISCED level 3B, 3C>","Three or more","Two","One","One","0-10 books","I don’t read for enjoyment",45,45,45,"About once a month","A few times a year","A few times a year","Several times a month","Several times a week","Switzerland","Public",2474.34,2695.48,2739.38,16,4,3,7
"Switzerland",1,"Female",6,"Did not complete <ISCED level 1>","<ISCED level 2>","Three or more","Three or more","Three or more","Two","26-100 books","I don’t read for enjoyment",45,45,45,"Several times a month","A few times a year","Several times a month","A few times a year","About once a month","Switzerland","Public",1774.46,1884.22,1791.49,15,0,2,2
"Switzerland",1,"Female",6,"<ISCED level 2>","<ISCED level 3B, 3C>","Three or more","One","Two","Two","11-25 books","I don’t read for enjoyment",45,45,45,"Several times a month","Several times a week","Never or almost never","A few times a year","Several times a month","Switzerland","Public",2687.36,2547.55,2688.54,16,2,3,5
"Switzerland",1,"Female",7,"<ISCED level 2>","<ISCED level 2>","Three or more","One","Two","Two","26-100 books","1 to 2 hours a day",45,45,45,"Never or almost never","Never or almost never","Several times a month","A few times a year","Never or almost never","Switzerland","Public",2361.39,2339.81,2475.46,9,2,2,4
"Switzerland",1,"Female",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","One","Three or more","Three or more","201-500 books","30 minutes or less a day",45,45,45,"Several times a month","About once a month","A few times a year","Never or almost never","About once a month","Switzerland","Public",2498.88,2418.07,2372.89,13,3,3,6
"Switzerland",1,"Male",7,"<ISCED level 2>","<ISCED level 3B, 3C>","Three or more","Two","Three or more","Two","26-100 books","More than 2 hours a day",45,45,45,"Several times a week","Several times a week","Several times a week","Never or almost never","Several times a month","Switzerland","Public",2867.7,2495.46,2874.12,20,2,3,5
"Switzerland",1,"Female",7,"<ISCED level 2>","<ISCED level 2>","Three or more","Two","Two","One","26-100 books","1 to 2 hours a day",45,45,45,"Several times a month","Several times a month","A few times a year","Never or almost never","Several times a week","Switzerland","Public",2935.47,2742.17,2772.94,16,2,2,4
"Switzerland",10,"Male",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","One","Two","Two","0-10 books","I don’t read for enjoyment",50,50,50,"Several times a month","Several times a week","Never or almost never","About once a month","Several times a week","Switzerland","Public",2415.13,2138.31,2299.23,18,3,3,6
"Switzerland",10,"Female",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Two","Two","Two","26-100 books","Between 30 and 60 minutes",50,50,50,"Several times a week","Never or almost never","Several times a month","Never or almost never","Several times a month","Switzerland","Public",2983.36,2806.12,2733.78,15,3,3,6
"Switzerland",10,"Female",7,"<ISCED level 2>","<ISCED level 3B, 3C>","Three or more","Three or more","Three or more","One","201-500 books","I don’t read for enjoyment",50,50,50,"Several times a week","Never or almost never","A few times a year","Never or almost never","Several times a week","Switzerland","Public",2984.92,2545.17,2657.78,14,2,3,5
"Switzerland",10,"Female",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","One","Three or more","Two","More than 500 books","30 minutes or less a day",50,50,50,"Several times a week","A few times a year","About once a month","Never or almost never","Several times a week","Switzerland","Public",3058.14,2837.5,2698.8,16,3,3,6
"Switzerland",10,"Female",7,"<ISCED level 3A>","<ISCED level 3B, 3C>","Three or more","One","Two","None","201-500 books","Between 30 and 60 minutes",50,50,50,"Several times a month","Several times a month","Several times a week","About once a month","Several times a week","Switzerland","Public",3129.04,3111.17,3002.33,21,4,3,7
"Switzerland",10,"Female",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","One","Three or more","Two","101-200 books","30 minutes or less a day",50,50,50,"Several times a month","About once a month","Several times a month","About once a month","Several times a week","Switzerland","Public",2598.97,2572.97,2601.83,19,3,3,6
"Switzerland",10,"Female",7,"<ISCED level 3B, 3C>","<ISCED level 3A>","Three or more","One","One","One","101-200 books","I don’t read for enjoyment",50,50,50,"Several times a month","Several times a month","A few times a year","About once a month","Several times a week","Switzerland","Public",2551.46,2514.97,2598.56,18,3,4,7
"Switzerland",10,"Male",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Three or more","Three or more","Two","201-500 books","I don’t read for enjoyment",45,45,45,"Several times a month","Never or almost never","Never or almost never","Never or almost never","Several times a week","Switzerland","Public",3270.02,2692.27,2884.38,12,3,3,6
"Switzerland",10,"Male",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Two","Three or more","Two","More than 500 books","I don’t read for enjoyment",50,50,50,"Several times a week","Several times a week","A few times a year","Several times a month","Several times a week","Switzerland","Public",2685.42,2208.86,2567.79,21,3,3,6
"Switzerland",10,"Female",7,"<ISCED level 2>","<ISCED level 2>","Two","One","Two","Two","26-100 books","1 to 2 hours a day",45,45,45,"Several times a month","Never or almost never","About once a month","Never or almost never","Several times a week","Switzerland","Public",2385.93,2345.38,2221.83,14,2,2,4
"Switzerland",10,"Male",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Three or more","Three or more","Two","201-500 books","30 minutes or less a day",45,45,45,"Several times a week","Several times a month","About once a month","Several times a week","Several times a week","Switzerland","Public",3180.83,2836.16,3040.57,22,3,3,6
"Switzerland",10,"Male",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Three or more","Three or more","Two","26-100 books","I don’t read for enjoyment",50,50,50,"About once a month","Several times a month","A few times a year","Never or almost never","Several times a month","Switzerland","Public",3353.37,2683.44,2978.09,14,3,3,6
"Switzerland",10,"Female",7,"<ISCED level 2>","<ISCED level 2>","Three or more","One","Three or more","Two","More than 500 books","30 minutes or less a day",50,50,50,"Several times a week","Several times a month","Several times a month","Several times a month","Several times a week","Switzerland","Public",2611.82,2430.77,2440.97,22,2,2,4
"Switzerland",10,"Male",7,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Three or more","Three or more","Two","26-100 books","30 minutes or less a day",50,50,50,"Several times a week","Several times a week","Never or almost never","Several times a week","Several times a week","Switzerland","Public",2353.98,2059.34,2290.84,21,3,3,6
"Switzerland",10,"Male",7,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","Three or more","One","26-100 books","I don’t read for enjoyment",45,45,45,"Several times a month","About once a month","A few times a year","A few times a year","Several times a week","Switzerland","Public",3155.13,2491.05,2876.44,16,4,4,8
